,geo,Tweets,User,Location,entities,sentiment,Country
234,," #BREAKING: Hong Kong sees more than a dozen confirmed #coronavirus infection after two weeks of subsidence, multiple lo…",AnthonyTNguyen3,"San Diego, CA","[('Hong Kong', 'GPE'), ('more than a dozen', 'CARDINAL'), ('two weeks', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
235,," Akira Yoshino, who won a  in Chemistry, posted a video online to help lift the spirits of students negativel…",CoryAnnMary,Rennes,"[('Akira Yoshino', 'PERSON'), ('Chemistry', 'ORG')]","{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.7506}",France
236,," Killing 101,000+ Americans by mismanaging the #coronavirus isn't enough, now  is threatening to just shoot Am…",bjsbook,Iowa,"[('101,000', 'CARDINAL'), ('Americans', 'NORP')]","{'neg': 0.44, 'neu': 0.56, 'pos': 0.0, 'compound': -0.8807}",USA
237,, Wow! Look at these numbers! Can’t wait to hear Dr. Fauci and the CDC explain why it is that #coronavirus preferred to str…,wacee5,U.S.A,"[('Fauci', 'PERSON'), ('CDC', 'ORG'), ('coronavirus', 'PERSON'), ('str', 'ORG')]","{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.658}",United States
238,, Delhi: Traffic congestion at Delhi-Gurugram border after Haryana government on Thursday sealed borders with the national capi…,LucknawiRooh,Delhi NCR/Lucknow/Chennai,"[('Delhi', 'GPE'), ('Delhi-Gurugram', 'ORG'), ('Haryana', 'GPE'), ('Thursday', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",National Capital Region
239,," ICYMI: CEOs from some of India's top #oil, #gas, #shipping companies share insights on the #coronavirus pandemic, trade flow…",Gravity_v20,"visakhapatnam, India","[('ICYMI', 'ORG'), ('India', 'GPE'), '', '']","{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.4588}",India
240,,"Although we don't recommend going out to stargaze, for those #amateur #astronomers who are determined to do so duri… ",CosmosPnw,"Portland, OR",[''],"{'neg': 0.098, 'neu': 0.79, 'pos': 0.112, 'compound': 0.0747}",USA
241,, -45.2lbs #weightloss in 115 days! :) #weightlossjourney going well considering #coronavirus has changed everyone's 2020 pla…,DaveEDanna,"Rock Hill, SC","[('weightloss', 'PERSON'), ('115 days', 'DATE'), ('weightlossjourney', 'PERSON'), ('2020', 'DATE')]","{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.6588}",USA
242,," I'm sorry, , what?  You think I pay you $1000 for a phone you get to push an operating system that includes the abil…",lfh1744,"Texas, USA","[('1000', 'MONEY')]","{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.1779}",USA
243,," Allah says ""Never shall you attain to righteousness unless you spend out of that which you love"". (Al-Quran 3 : 92)…",MaheenSidra,India,"[('Al-Quran', 'PERSON'), ('92', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
244,," Boris Johnson has been accused of ""Trumpesque"" behaviour after intervening to stop the government's top experts from an…",slogess,"Broughty Ferry, Scotland","[('Boris Johnson', 'PERSON'), ('Trumpesque', 'WORK_OF_ART')]","{'neg': 0.208, 'neu': 0.708, 'pos': 0.085, 'compound': -0.3818}",UK
245,, #Coronavirus updates:• Thailand reports 11 new #COVID19 cases• Colombia extends national quarantine until July• Surge in…,aabello25,Lagos,"[('Coronavirus', 'PERSON'), ('Thailand', 'GPE'), ('11', 'CARDINAL'), '', ('Colombia', 'GPE'), ('Surge', 'PERSON')]","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.128}",Nigeria
246,,  Children  are prone to get infections easily.. #coronavirus camn be deadly to them.. Let's t…,DhanyaAjikesh,Kottayam ,"[('coronavirus', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
247,,"Whoever invents a #coronavirus vaccine will control the #patent – and, importantly, who gets to use it… ",NikkiLengkeek,"Sydney, New South Wales",[],"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.3182}",Australia
248,," #CoronaVirusUpdates: 2,636 new #coronavirus cases surfaced in #Pakistan over last 24 hours, taking the tally to 64,028 h…",mumaralid,Driver,"[('2,636', 'CARDINAL'), ('Pakistan', 'GPE'), ('64,028', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
